product_name,Product_attribute_list,material,warranty,generated_description,latency_ms,input_tokens,output_tokens,Fluency,Grammar,Tone,Length,Grounding,Cost,final_score,actual_word_count
Apple iPhone 15 Pro,"features: A17 Pro chip, 120 Hz ProMotion display, USB‑C fast charging; dimensions: compact","titanium frame, Ceramic Shield glass",1‑year limited warranty,"""Introducing the Apple iPhone 15 Pro, engineered with precision and power. Featuring the A17 Pro chip and 120Hz ProMotion display, you'll experience seamless performance and vibrant visuals. The compact design is built with a durable titanium frame and shatter-resistant Ceramic Shield glass. With USB-C fast charging, you can power up quickly. Enjoy peace of mind with our 1-year limited warranty. Upgrade to the ultimate mobile experience with the iPhone 15 Pro.""",5317.9,161,95,ok,,,good,,,,71
Samsung Galaxy S24 Ultra,"features: 200 MP camera, S‑Pen support, 120 Hz AMOLED; sustainably sourced","Armor Aluminum frame, Gorilla Glass Victus",1‑year limited warranty,"""Capture life's moments with clarity and precision. The Samsung Galaxy S24 Ultra features a stunning 200MP camera, paired with an S-Pen for effortless note-taking and creativity. Enjoy seamless visuals on the 120Hz AMOLED display. Built with sustainably sourced materials, this device boasts a durable Armor Aluminum frame and Gorilla Glass Victus protection. Backed by a 1-year limited warranty, you can trust your new phone to last.""",17906.22,164,93,,,,good,,,,66
Google Pixel 8 Pro,"features: Tensor G3 chip, Magic Eraser, 50 MP camera; rating: 4.7/5","matte glass back, aluminum frame",1‑year limited warranty,"""Unlock the latest in smartphone innovation with the Google Pixel 8 Pro. Powered by the Tensor G3 chip, this device delivers seamless performance and efficiency. Capture life's moments with precision, thanks to the 50MP camera and Magic Eraser feature. Durable and stylish, the matte glass back and aluminum frame ensure a premium feel. With a 4.7/5 rating and 1-year limited warranty, you can trust this phone to keep up with your active lifestyle.""",4633,162,98,,,,good,,,,73
Sony WH‑1000XM5 Headphones,"features: active noise cancelling, 30 hr battery, Bluetooth 5.2; capacity: large",synthetic leather earcups,1‑year limited warranty,"""Experience unparalleled sound with the Sony WH-1000XM5 Headphones. Enjoy active noise cancelling technology that blocks out distractions, providing immersive audio. With up to 30 hours of battery life, you can listen all day. Pair seamlessly with Bluetooth 5.2 for a reliable connection. Comfortable synthetic leather earcups ensure all-day wear. Backed by a 1-year limited warranty, confidence in your purchase is guaranteed. Upgrade your listening experience with the Sony WH-1000XM5 Headphones.""",4396.88,161,105,,,,good,,,,70
Bose QuietComfort Ultra Earbuds,"features: CustomTune sound calibration, ANC, IPX4; award‑winning design",silicone ear tips,1‑year limited warranty,"Immerse yourself in pure sound with the Bose QuietComfort Ultra Earbuds. Our award-winning design pairs perfectly with CustomTune sound calibration and Advanced Noise Cancellation for a tailored listening experience. Durable silicone ear tips ensure a comfortable fit. With a 1-year limited warranty, you can enjoy your music with confidence. Experience the best of sound and style with the QuietComfort Ultra Earbuds - designed to bring you closer to the music that matters.",19146.77,155,94,,,,good,,,,72
Amazon Echo Dot (5th Gen),"features: Alexa voice assistant, temperature sensor, improved bass; sustainably sourced",recycled fabric mesh,1‑year limited warranty,"""Meet the Amazon Echo Dot (5th Gen), your smart home's new best friend. This eco-friendly speaker features our Alexa voice assistant, delivering seamless voice control and access to thousands of skills. Plus, stay cozy with temperature sensing, and enjoy deeper bass for a richer sound. Crafted from sustainably sourced recycled fabric mesh, you can feel good about your purchase. Covered by a 1-year limited warranty, this Echo Dot is the perfect addition to your home.""",6273.94,151,96,,,,good,,,,75
Dell XPS 13 9310 Laptop,"features: 13.4″ FHD+ display, Intel Core i5, Thunderbolt 4; dimensions: compact",CNC aluminum & carbon‑fiber palmrest,1‑year limited hardware warranty,"Experience premium performance with the Dell XPS 13 9310 Laptop. Boasting a compact design and stunning 13.4″ FHD+ display, this sleek machine powers through tasks with ease thanks to its Intel Core i5 processor and Thunderbolt 4 connectivity. Crafted from durable CNC aluminum and featuring a carbon-fiber palmrest, this laptop is both beautiful and built to last. Backed by a 1-year limited hardware warranty, you can trust it to keep up with your busy lifestyle.",23686.4,169,104,,,,good,,,,75
Apple MacBook Air 13″ (M3),"features: M3 chip, 18‑hour battery, 1080p camera; energy efficient",recycled aluminum unibody,1‑year limited warranty,"""Upgrade your workflow with the Apple MacBook Air 13″, powered by the efficient M3 chip. Enjoy up to 18 hours of battery life and capture clear video with the 1080p camera. Crafted from recycled aluminum, this eco-friendly unibody design exudes durability. Backed by a 1-year limited warranty, you can trust this laptop to keep up with your demands. Experience seamless performance and sustainable design with the MacBook Air 13″ (M3).""",15529.66,160,99,,,,good,,,,70
Microsoft Surface Pro 10,"features: Intel Core Ultra, detachable keyboard, 13″ PixelSense; dimensions: compact",magnesium alloy chassis,1‑year limited warranty,"Unlock your full potential with the Microsoft Surface Pro 10. This compact powerhouse features an Intel Core Ultra processor and a stunning 13″ PixelSense display. The detachable keyboard and sleek magnesium alloy chassis make it the ultimate portability solution. Backed by a 1-year limited warranty, you can trust the Surface Pro 10 to deliver exceptional performance and reliability. Stay productive on the go with this versatile and durable device.",9633.05,153,86,,,,good,,,,69
Garmin Forerunner 255,"features: multi‑band GPS, HRV status, 14‑day battery; rating: 4.7/5",fiber‑reinforced polymer,1‑year limited warranty,"""Take your training to the next level with the Garmin Forerunner 255. Featuring multi-band GPS, heart rate variability (HRV) status, and a 14-day battery life, you can track your progress without interruption. Built with a durable fiber-reinforced polymer, this watch is designed to withstand the demands of serious athletes. Backed by a 1-year limited warranty, you can trust it to deliver reliable performance. With a 4.7/5 rating, athletes rave about its accuracy and durability.""",10193.64,163,107,,,,good,,,,74
Fitbit Charge 6,"features: heart‑rate monitor, built‑in GPS, 7‑day battery; color options: multiple",aluminum case,1‑year limited warranty,"""Take control of your fitness journey with the Fitbit Charge 6. This sleek aluminum case watch features a built-in GPS and heart-rate monitor to track your every move. With up to 7 days of battery life, you can focus on reaching your goals without worrying about running out of power. Choose from multiple color options to match your unique style. Backed by a 1-year limited warranty, you can trust the Charge 6 to help you stay on track.""",27010.09,155,96,,,,good,,,,78
GoPro HERO12 Black,"features: 5.3K60 video, HyperSmooth 6.0, waterproof 10 m; capacity: large",rugged polycarbonate,1‑year limited warranty,"Capture life's most epic moments with the GoPro HERO12 Black. This rugged camera features stunning 5.3K60 video and HyperSmooth 6.0 stabilization, ensuring smooth footage even in turbulent conditions. Waterproof up to 10m, it's perfect for underwater adventures. Built with durable polycarbonate, it can withstand the rough stuff. Backed by a 1-year limited warranty, you can trust it to perform. Get ready to record your most thrilling escapades.",12610.13,161,99,,,,good,,,,67
DJI Mini 4 Pro Drone,"features: 4K/60fps, omnidirectional obstacle sensing, <250 g; rating: 4.7/5",composite plastic,1‑year limited warranty,"Capture life's most breathtaking moments with the DJI Mini 4 Pro Drone. Weighing under 250 grams, this compact powerhouse shoots stunning 4K/60fps footage, while its omnidirectional obstacle sensing technology ensures safe and seamless flights. With a 4.7-star rating and built from durable composite plastic, you can trust the Mini 4 Pro to deliver exceptional results. Protected by a 1-year limited warranty, get ready to take your aerial photography to new heights.",9245.04,163,100,,,,good,,,,71
Nintendo Switch OLED,"features: 7″ OLED screen, docked & handheld modes, 64 GB storage; capacity: large",plastic chassis,1‑year limited warranty,"Experience the next level of gaming with the Nintendo Switch OLED. This powerful console features a stunning 7"" OLED screen, allowing for vibrant visuals and a wider viewing angle. Enjoy seamless transitions between docked and handheld modes, and store up to 64 GB of games and content. Built with a durable plastic chassis, this device is designed to last. Backed by a 1-year limited warranty, you can trust it to deliver hours of entertainment.",10626.51,154,91,,,,good,,,,74
PlayStation 5 Slim,"features: ray tracing, haptic feedback controller, 1 TB SSD; battery: long‑lasting",plastic shell,1‑year limited warranty,"Upgrade your gaming experience with the PlayStation 5 Slim, packed with cutting-edge features. Enjoy immersive graphics with ray tracing and precise control with the haptic feedback controller. The 1TB SSD ensures seamless gameplay. Built with a durable plastic shell, this console is designed to last. Get hours of uninterrupted play with its long-lasting battery. Backed by a 1-year limited warranty, you can trust the PlayStation 5 Slim to deliver exceptional gaming performance.",38076.8,153,92,,,,good,,,,72
Xbox Series X,"features: 12 TFLOPS GPU, 1 TB SSD, 4K @ 120 Hz; battery: long‑lasting",matte black casing,1‑year limited warranty,"Experience the future of gaming with the Xbox Series X. This powerhouse console boasts a 12 TFLOPS GPU, 1 TB SSD, and stunning 4K visuals at 120 Hz. Its long-lasting battery keeps you gaming all night. The sleek, matte black casing adds a touch of sophistication to any room. Covered by a 1-year limited warranty, you can trust your investment in gaming's next generation. Get ready to elevate your gaming experience.",15120.11,162,93,,,,good,,,,71
Instant Pot Duo 6‑Quart,"features: 7‑in‑1 multicooker, stainless steel inner pot, 1000 W heating; weight: light",18/8 stainless steel,1‑year limited warranty,"Cook up a storm with the Instant Pot Duo 6-Quart! This versatile 7-in-1 multicooker simplifies meal prep, with 1000W heating and a stainless steel inner pot that's both durable and easy to clean. Made from 18/8 stainless steel, it's built to last. Plus, with a light weight and easy-to-use design, cooking has never been more convenient. And with a 1-year limited warranty, you can cook with confidence. Get started today and unlock a world of culinary possibilities!",45251.52,167,112,,,,good,,,,77
Keurig K‑Supreme Plus Smart,"features: multistream extraction, BrewID, 78 oz reservoir; capacity: large",brushed stainless steel accents,1‑year limited warranty,"Elevate your coffee experience with the Keurig K-Supreme Plus Smart. This smart brewing system boasts a large 78oz reservoir and features multistream extraction technology for a rich and full-flavor coffee. With BrewID, you can customize your brew settings to suit your taste. The brushed stainless steel accents add a touch of sophistication. Enjoy peace of mind with our 1-year limited warranty. Upgrade your morning routine with the K-Supreme Plus Smart.",5701.85,157,96,,,,good,,,,70
Vitamix 5200 Blender,"features: variable speed, 2‑hp motor, self‑cleaning; sustainably sourced",BPA‑free Tritan jar,7‑year warranty,"""Unlock the full potential of your kitchen with the Vitamix 5200 Blender. This powerhouse features a 2-hp motor and variable speed control, effortlessly blending even the toughest ingredients. The BPA-free Tritan jar is a sustainable choice for your kitchen. Cleaning is a breeze with the self-cleaning function. With a 7-year warranty, you can blend with confidence. Experience the ultimate in food preparation with the Vitamix 5200 - a trusted choice for home cooks and professionals alike.""",6214.03,158,104,,,,good,,,,76
Dyson V15 Detect Vacuum,"features: laser dust detection, HEPA filtration, 60‑min run‑time; energy efficient",polycarbonate & aluminum,2‑year parts & labor,"""Upgrade your cleaning routine with the Dyson V15 Detect Vacuum! Equipped with laser dust detection, this powerful vacuum illuminates hidden dust and debris for a deeper clean. With HEPA filtration and 60-minute run-time, you'll enjoy a thorough and efficient cleaning experience. Made from durable polycarbonate and aluminum, this device is built to last. Plus, enjoy peace of mind with our 2-year parts and labor warranty. Experience the difference of a smarter, healthier clean.""",7811.01,158,99,,,,good,,,,73
iRobot Roomba j7+,"features: PrecisionVision navigation, self‑emptying Clean Base, Alexa; award‑winning design",plastic housing,1‑year limited warranty,"Meet the iRobot Roomba j7+, the ultimate cleaning companion. With PrecisionVision navigation, this robot expertly maps and adapts to your space for a thorough clean. The self-emptying Clean Base keeps your hands free from mess and maintenance. Voice control through Alexa makes it seamless to schedule and control. Enjoy the award-winning design and peace of mind with our 1-year limited warranty. Effortless cleaning has never been easier.",5174.16,154,89,,,,good,,,,67
Yeti Rambler 20 oz Tumbler,"features: double‑wall vacuum insulated, MagSlider lid; dimensions: compact",kitchen‑grade stainless steel,5‑year warranty,"""Keep your drinks hot or cold for hours with the Yeti Rambler 20 oz Tumbler. Made from kitchen-grade stainless steel, this compact tumbler is built to last. The double-wall vacuum insulation and MagSlider lid work together to keep your beverages at the perfect temperature. Backed by a 5-year warranty, this tumbler is a reliable companion for on-the-go hydration. Its compact size makes it easy to take anywhere.""",64995.17,157,94,,,,good,,,,67
Stanley Quencher H2.0 40 oz,"features: vacuum insulated, flow‑state lid, cup‑holder friendly; battery: long‑lasting",recycled stainless steel,lifetime warranty,"Stay refreshed on-the-go with the Stanley Quencher H2.0 40oz! This eco-friendly, vacuum insulated cup keeps drinks hot or cold for hours, thanks to its long-lasting battery. The flow-state lid and cup-holder friendly design make it easy to sip on the go. Made from recycled stainless steel, this cup is as sustainable as it is durable. Backed by a lifetime warranty, you can trust it to keep up with your active lifestyle. Drink up, guilt-free!",35768.74,157,101,,,,good,,,,74
Hydro Flask 32 oz Wide Mouth,"features: TempShield insulation, Color Last powder coat; dimensions: compact",pro‑grade stainless steel,lifetime warranty,"""Stay refreshed and on-the-go with the Hydro Flask 32 oz Wide Mouth! This compact and durable pro-grade stainless steel water bottle keeps drinks hot or cold for hours with TempShield insulation. The Color Last powder coat ensures vibrant colors won't fade. Built to last, Hydro Flask offers a lifetime warranty, so you can trust your bottle will keep up with your active lifestyle. BPA-free and leak-proof, this wide mouth bottle is perfect for daily hydration.""",16493.98,149,94,,,,good,,,,75
Contigo Autoseal West Loop 16 oz,"features: autoseal spill‑proof lid, double‑wall insulation; dimensions: compact",stainless steel,lifetime warranty,"Stay hydrated on-the-go with the Contigo Autoseal West Loop 16 oz. This compact, stainless steel bottle features a leak-proof autoseal lid and double-wall insulation to keep drinks hot or cold for hours. The sleek design fits perfectly in your hand or bag. And with our lifetime warranty, you can trust it will be your reliable companion for all your adventures. Durable, convenient, and leak-free - the perfect bottle for everyday use.",17907.96,153,93,,,,good,,,,71
Nike Air Zoom Pegasus 40,"features: React foam, Zoom Air units, engineered mesh upper; energy efficient",textile & synthetic,2‑year manufacturer warranty,"Take your runs to the next level with the Nike Air Zoom Pegasus 40. This high-performance shoe features React foam for superior cushioning and energy return, while Zoom Air units provide explosive propulsion. The engineered mesh upper keeps you cool and dry. Designed to be energy efficient, this shoe is perfect for everyday training. Backed by a 2-year manufacturer warranty for added peace of mind. Experience the power of Pegasus 40.",5390.92,151,89,,,,good,,,,71
Adidas Ultraboost Light,"features: Light BOOST midsole, Primeknit+ upper, Continental rubber; rating: 4.7/5",textile & synthetic,2‑year manufacturer warranty,"""Take your runs to new heights with the Adidas Ultraboost Light. This high-performance shoe features a Light BOOST midsole for explosive energy return, paired with a Primeknit+ upper for a snug, breathable fit. Continental rubber ensures superior traction on any surface. With a 4.7/5 rating, this shoe is a favorite among runners. Backed by a 2-year manufacturer warranty, you can trust it will keep up with your active lifestyle.""",5090.52,158,95,,,,good,,,,69
The North Face ThermoBall Eco Jacket,"features: synthetic ThermoBall insulation, DWR finish; dimensions: compact",100% recycled nylon,lifetime warranty,"Experience the ultimate in eco-friendly performance with The North Face ThermoBall Eco Jacket. Built with 100% recycled nylon, this compact wonder boasts synthetic ThermoBall insulation for warmth and DWR finish for water resistance. Whether you're tackling a chilly hike or city streets, this jacket delivers. And with a lifetime warranty, you can trust it to keep you warm and dry for years to come. Stay warm, stay green, with The North Face ThermoBall Eco Jacket.",4830.54,150,97,,,,good,,,,75
Patagonia Black Hole 32 L Backpack,"features: weather‑resistant, laptop sleeve, padded straps; capacity: large",100% recycled polyester ripstop,lifetime warranty,"""Hit the trails with confidence in the Patagonia Black Hole 32 L Backpack. Built with 100% recycled polyester ripstop, this weather-resistant pack keeps your gear dry and protected. A padded laptop sleeve and comfortable straps ensure a secure, comfortable ride. With a large capacity and lifetime warranty, you can trust this rugged backpack to tackle any adventure. Durable, reliable, and eco-friendly – the perfect companion for your next expedition.""",3564.58,155,90,,,,good,,,,69
Osprey Farpoint 40,"features: stowaway harness, laptop sleeve, carry‑on size; energy efficient",450D recycled nylon,lifetime warranty,"The Osprey Farpoint 40 is a versatile, energy-efficient backpack designed for the modern traveler. Its stowaway harness and laptop sleeve offer convenience and protection on-the-go. Made from durable 450D recycled nylon, this carry-on size pack is perfect for short trips and weekend getaways. With a lifetime warranty, you can trust this pack will keep up with your adventures. Pack smart, travel easy, and explore with confidence.",2377.43,151,90,,,,good,,,,66
LEGO Star Wars Millennium Falcon 75192,"features: 7 541 pieces, detailed interior, minifigs included; battery: long‑lasting",ABS plastic bricks,lifetime replacement of missing bricks,"""Get ready for an epic Star Wars adventure with the ultimate LEGO Millennium Falcon! With 7,541 pieces, this iconic spaceship features a detailed interior, complete with minifigures to bring the action to life. Built with high-quality ABS plastic bricks, this set is designed to last. Plus, enjoy a lifetime guarantee on missing bricks - we've got you covered. Join the Rebel Alliance and bring this legendary ship to your shelf!""",3026.29,157,89,,,,good,,,,70
LEGO Icons Botanical Orchid 10311,"features: 608 pieces, adjustable blooms, decorative set; color options: multiple",ABS plastic bricks,lifetime replacement of missing bricks,"Bring the beauty of nature indoors with the LEGO Icons Botanical Orchid 10311. This stunning, 608-piece decorative set features adjustable blooms, allowing you to customize its appearance. Made from high-quality ABS plastic bricks, it's a masterpiece of detail and design. With multiple color options to choose from, you can personalize your orchid to match your unique style. And with our lifetime warranty, you can enjoy your beautiful orchid with peace of mind.",3315.13,153,93,,,,good,,,,72
Kindle Paperwhite 11th Gen,"features: 6.8″ glare‑free display, 10‑week battery, USB‑C; dimensions: compact",recycled plastic,1‑year limited warranty,"""Experience the joy of reading with our Kindle Paperwhite 11th Gen. Enjoy a 6.8"" glare-free display that reads like real paper, while the compact design fits perfectly in your hand. With a 10-week battery, you can read for months without needing to recharge. Made from recycled plastic, our Kindle is an eco-friendly choice. Plus, a 1-year limited warranty gives you peace of mind. Get lost in your favorite stories with our reliable and sustainable e-reader.""",2781.49,160,101,,,,good,,,,75
Kobo Libra 2,"features: 7″ E Ink Carta, Bluetooth audiobooks, waterproof IPX8; weight: light",plastic chassis,1‑year limited warranty,"""Meet the Kobo Libra 2, your new reading companion. With a 7"" E Ink Carta display, you'll enjoy crisp text and vibrant colors. Take your audiobooks on the go with Bluetooth connectivity. Enjoy peace of mind with IPX8 waterproofing, so you can read anywhere. Weighing in at a light and portable 230g, this e-reader is perfect for long reading sessions. Backed by a 1-year limited warranty, you can trust your Libra 2 will be with you for many pages to come.""",3296.97,159,116,,,,good,,,,81
Anker Soundcore Motion+ Speaker,"features: 30 W audio, Hi‑Res, IPX7 waterproof; energy efficient",aluminum grille,18‑month warranty,"Elevate your outdoor adventures with the Anker Soundcore Motion+ Speaker! This rugged companion boasts 30W of Hi-Res audio, ensuring crystal-clear sound wherever you go. With an IPX7 waterproof rating, you can take it to the beach, pool, or anywhere water may splash. The aluminum grille adds a touch of sophistication. Enjoy energy-efficient performance and peace of mind with our 18-month warranty. Take the sound with you, anywhere.",17973.05,153,94,,,,good,,,,67
Sonos Move 2,"features: WiFi & Bluetooth, 24‑hr battery, automatic Trueplay; rating: 4.7/5",shock‑resistant shell,1‑year limited warranty,"""Take your music anywhere with the Sonos Move 2, a portable speaker that seamlessly connects to your WiFi or Bluetooth devices. Its 24-hour battery life and automatic Trueplay tuning ensure rich, detailed sound wherever you go. Built with a durable, shock-resistant shell, this speaker withstands the rigors of outdoor life. With a 4.7/5 rating, trust the Sonos Move 2 to deliver high-quality audio. Backed by a 1-year limited warranty, enjoy peace of mind with every play.""",5101.63,160,108,,,,good,,,,76
Philips Hue White & Color Ambiance Starter Kit,"features: 16 million colors, Bluetooth & Zigbee, voice control; limited edition",plastic bulbs,2‑year limited warranty,"""Introducing the Philips Hue White & Color Ambiance Starter Kit, a limited edition smart lighting solution. Experience 16 million colors, effortlessly controlled via Bluetooth, Zigbee, or voice commands. This innovative kit features plastic bulbs that bring warmth and ambiance to any space. With a 2-year limited warranty, you can trust your new smart lighting system. Elevate your home's atmosphere with the Philips Hue Starter Kit - the ultimate in smart lighting versatility and style.""",4148.34,155,94,,,,good,,,,74
TP‑Link Deco XE75 Mesh WiFi 6E,"features: tri‑band AXE5400, 3‑pack covers 7 200 sq ft; battery: long‑lasting",plastic,2‑year limited warranty,"""Upgrade your home WiFi with the TP-Link Deco XE75 Mesh WiFi 6E system. This 3-pack covers up to 7,200 sq ft with a powerful tri-band AXE5400 signal. Enjoy seamless, long-lasting coverage with batteries that don't need recharging often. With a 2-year limited warranty, you can trust your purchase. Say goodbye to dead zones and hello to fast, reliable internet throughout your home.""",3940.68,169,93,,,,good,,,,62
Eufy Video Doorbell Dual,"features: dual camera, package detection, 2K resolution; battery: long‑lasting",plastic housing,1‑year limited warranty,"Protect your home with the Eufy Video Doorbell Dual, featuring two high-resolution 2K cameras for a clear view of your surroundings. Package detection alerts you when a parcel is delivered, so you can pick it up promptly. With a long-lasting battery, you don't need to worry about recharging. This durable plastic housing withstands the elements, and the 1-year limited warranty provides peace of mind. Enjoy enhanced home security with the Eufy Video Doorbell Dual.",12437.69,153,99,,,,good,,,,74
Blink Outdoor 4,"features: 1080p HD, 2‑year battery, weather‑resistant; limited edition",plastic,1‑year limited warranty,"Capture life's moments with confidence using the Blink Outdoor 4, a limited edition security camera. Featuring 1080p HD, it provides crisp and clear footage, ensuring you never miss a thing. Its weather-resistant design and 2-year battery life make it perfect for outdoor use. Backed by a 1-year limited warranty, you can trust this reliable device to keep your home and loved ones safe. Protect what matters most with the Blink Outdoor 4.",3333.05,152,94,,,,good,,,,72
Corsair K100 RGB Keyboard,"features: Cherry MX Speed, 4000 Hz polling, aluminum frame; capacity: large",brushed aluminum,2‑year warranty,"""Upgrade your gaming experience with the Corsair K100 RGB Keyboard. This large capacity keyboard boasts a sleek, brushed aluminum frame and features Cherry MX Speed switches for lightning-fast actuation. Enjoy seamless performance with 4000 Hz polling and customize your experience with vibrant RGB lighting. Rugged and reliable, the K100 is backed by a 2-year warranty for peace of mind. Take your gaming to the next level with this premium keyboard.""",3151.44,152,89,,,,good,,,,70
Logitech MX Master 3S,"features: 8K DPI sensor, MagSpeed scroll, Bolt & Bluetooth; color options: multiple",plastic,1‑year limited warranty,"Upgrade your workflow with the Logitech MX Master 3S. This versatile mouse boasts an 8K DPI sensor for precise tracking and MagSpeed scroll for effortless navigation. Seamlessly connect via Bolt or Bluetooth for reliable performance. Choose from a range of stylish color options to match your unique style. Backed by a 1-year limited warranty, you can trust the MX Master 3S to deliver consistent performance and exceptional comfort.",3192.43,154,87,,,,good,,,,68
Razer DeathAdder V3 Pro,"features: 63 g ultralight, 30K DPI Focus Pro sensor; battery: long‑lasting",plastic,2‑year warranty,"Take your gaming to the next level with the Razer DeathAdder V3 Pro. Weighing in at a mere 63g, this ultralight mouse is designed for marathon gaming sessions. The 30K DPI Focus Pro sensor ensures pinpoint accuracy, while the long-lasting battery keeps you going all night long. Durable plastic construction withstands heavy use. Backed by a 2-year warranty, you can trust the DeathAdder V3 Pro to deliver top-notch performance and reliability. Upgrade your gaming experience today.",3745.32,157,108,,,,good,,,,76
Samsung 980 Pro 2 TB NVMe SSD,"features: PCIe 4.0, up to 7 000 MB/s read, nickel coating; battery: long‑lasting",PCB & NAND flash,5‑year limited warranty,"Upgrade your gaming or content creation experience with the Samsung 980 Pro 2 TB NVMe SSD. This high-performance drive boasts PCIe 4.0 speeds of up to 7,000 MB/s for seamless data transfer. Its durable nickel coating protects the drive, while a long-lasting battery ensures uninterrupted performance. Built with a robust PCB and efficient NAND flash, this SSD is backed by a 5-year limited warranty for added peace of mind. Accelerate your workflow with the Samsung 980 Pro SSD.",3321.57,168,102,,,,good,,,,78
Seagate Portable 5 TB HDD,"features: USB 3.0, plug‑and‑play, 2.5″ form factor; rating: 4.7/5",plastic shell,1‑year limited warranty,"""Store your files with confidence using the Seagate Portable 5 TB HDD. This compact, plug-and-play drive features USB 3.0 technology for fast data transfer. With a rugged 2.5"" form factor and durable plastic shell, it's perfect for on-the-go storage. Backed by a 1-year limited warranty, you can trust your files are safe. With a 4.7/5 rating, customers rave about its reliability and ease of use. Get yours today and expand your digital storage space.""",4249.61,166,108,,,,good,,,,74
SanDisk Extreme PRO 128 GB SDXC,"features: UHS‑I U3, 200 MB/s read, waterproof; battery: long‑lasting",plastic,lifetime limited warranty,"Take your adventures to the next level with the SanDisk Extreme PRO 128 GB SDXC. Built with a long-lasting battery and waterproof design, this rugged storage solution can keep up with your active lifestyle. With UHS-I U3 speeds of up to 200 MB/s, you can quickly transfer and store high-resolution photos and videos. Backed by a lifetime limited warranty, you can trust this reliable storage to capture life's most precious moments.",5277.91,157,91,,,,good,,,,71
Kingston Fury Beast 32 GB DDR5,"features: 6000 MT/s, Intel XMP 3.0, low‑profile heat spreader; energy efficient",aluminum heatspreader,lifetime warranty,"""Unlock your system's potential with the Kingston Fury Beast 32 GB DDR5 memory kit. Boasting speeds of up to 6000 MT/s and Intel XMP 3.0 compatibility, this kit ensures seamless performance. The low-profile aluminum heatspreader keeps your system cool and quiet. Plus, with a lifetime warranty, you can focus on gaming and multitasking without worrying about your investment. Upgrade to the Fury Beast and take your computing experience to the next level.""",4133.3,161,97,,,,good,,,,72
Acer Predator XB273U 27″ Monitor,"features: 2560×1440 170 Hz IPS, HDR400, G‑Sync Compatible; capacity: large",plastic & metal stand,3‑year warranty,"Elevate your gaming experience with the Acer Predator XB273U 27"" Monitor. Boasting a vibrant 2560x1440 resolution and 170Hz refresh rate, this IPS display delivers smooth, tear-free visuals. HDR400 and G-Sync Compatible ensure immersive colors and reduced screen tearing. Built with a sturdy plastic and metal stand, this monitor is designed to last. Backed by a 3-year warranty, you can trust the Predator XB273U to perform at its best. Upgrade your gaming session today.",4422.13,163,107,,,,good,,,,73
BenQ PD2725U 27″ Monitor,"features: 4K UHD IPS, 98% P3, Thunderbolt 3; color options: multiple",metal stand,3‑year warranty,"Elevate your creative workflow with the BenQ PD2725U 27"" Monitor. This stunning display boasts 4K UHD IPS technology and 98% P3 color gamut, ensuring vibrant and accurate colors. With Thunderbolt 3 connectivity, you can transfer files and power your devices in a single cable. Available in multiple color options, this sleek monitor features a sturdy metal stand. Backed by a 3-year warranty, you can trust this monitor to deliver exceptional performance and reliability.",4447.58,161,103,,,,good,,,,73
ASUS ProArt PA278QV Monitor,"features: 27″ 2560×1440 IPS, 100% sRGB, Calman Verified; weight: light",metal stand,3‑year warranty,"Elevate your creative workflow with the ASUS ProArt PA278QV Monitor. This stunning 27"" display boasts a crisp 2560x1440 IPS panel, covering 100% of the sRGB color gamut for precise color accuracy. Calman Verified for reliability, it's perfect for graphic designers and videographers. Built with a sturdy metal stand, this monitor is both durable and lightweight. Enjoy peace of mind with our 3-year warranty. Upgrade your productivity today.",4771,161,99,,,,good,,,,67