product_name,Product_attribute_list,material,warranty,generated_description,latency_ms,input_tokens,output_tokens,Fluency,Grammar,Tone,Length,Grounding,Cost,final_score
Apple iPhone 15 Pro,"features: A17 Pro chip, 120 Hz ProMotion display, USB‑C fast charging; dimensions: compact","titanium frame, Ceramic Shield glass",1‑year limited warranty,"Experience seamless performance with the Apple iPhone 15 Pro, powered by the A17 Pro chip. Enjoy a stunning 120Hz ProMotion display for smooth visuals. Its compact design fits perfectly in your hand. The durable titanium frame and Ceramic Shield glass provide long-lasting protection. Get fast charging with USB-C. Plus, you're covered with a 1-year limited warranty. Upgrade to a faster, more responsive smartphone today.",4815.92,161,85,,,,,,,
Samsung Galaxy S24 Ultra,"features: 200 MP camera, S‑Pen support, 120 Hz AMOLED; sustainably sourced","Armor Aluminum frame, Gorilla Glass Victus",1‑year limited warranty,"Introducing the Samsung Galaxy S24 Ultra, a premium smartphone designed with sustainability in mind. This powerful device features a 200MP camera, S-Pen support, and a stunning 120Hz AMOLED display. Crafted with an Armor Aluminum frame and protected by Gorilla Glass Victus, it's built to last. Enjoy peace of mind with our 1-year limited warranty. Experience exceptional performance and style with the Samsung Galaxy S24 Ultra.",2940.04,164,92,,,,,,,
Google Pixel 8 Pro,"features: Tensor G3 chip, Magic Eraser, 50 MP camera; rating: 4.7/5","matte glass back, aluminum frame",1‑year limited warranty,"""Unlock the full potential of your photography with the Google Pixel 8 Pro. Equipped with the powerful Tensor G3 chip and featuring a 50 MP camera, this flagship smartphone delivers stunning images and seamless performance. Plus, with Magic Eraser, removing unwanted objects from your photos has never been easier. Durable and sleek, the matte glass back and aluminum frame ensure a premium feel. With a 4.7/5 rating, this phone is a standout choice. Enjoy 1-year limited warranty for peace of mind.""",3062.3,162,107,,,,,,,
Sony WH‑1000XM5 Headphones,"features: active noise cancelling, 30 hr battery, Bluetooth 5.2; capacity: large",synthetic leather earcups,1‑year limited warranty,"""Experience unparalleled sound with the Sony WH-1000XM5 Headphones. Equipped with advanced active noise cancelling technology, these headphones deliver immersive audio and a serene listening environment. Enjoy up to 30 hours of continuous playback on a single charge and seamless connectivity via Bluetooth 5.2. Crafted with premium synthetic leather earcups, these headphones provide all-day comfort. Backed by a 1-year limited warranty, you can trust the quality of your audio experience.""",2761.07,161,97,,,,,,,
Bose QuietComfort Ultra Earbuds,"features: CustomTune sound calibration, ANC, IPX4; award‑winning design",silicone ear tips,1‑year limited warranty,"Immerse yourself in pure sound with the Bose QuietComfort Ultra Earbuds. Our award-winning design provides a comfortable fit with silicone ear tips, while CustomTune sound calibration ensures you hear the music as the artist intended. Advanced noise-cancelling technology blocks out distractions, and IPX4 durability withstands splashes and sweat. Plus, enjoy peace of mind with a 1-year limited warranty. Treat your ears to the best – upgrade to the QuietComfort Ultra Earbuds today.",3765.21,155,101,,,,,,,
Amazon Echo Dot (5th Gen),"features: Alexa voice assistant, temperature sensor, improved bass; sustainably sourced",recycled fabric mesh,1‑year limited warranty,"Meet the Amazon Echo Dot (5th Gen), a compact smart speaker with a big impact. This eco-friendly device features Alexa, the smartest voice assistant, a built-in temperature sensor, and enhanced bass for rich sound. Wrapped in sustainably sourced recycled fabric mesh, this Dot is both stylish and environmentally responsible. Enjoy seamless smart home control and entertainment with a 1-year limited warranty backing your purchase. Upgrade your space with the latest Echo Dot.",3016.48,151,91,,,,,,,
Dell XPS 13 9310 Laptop,"features: 13.4″ FHD+ display, Intel Core i5, Thunderbolt 4; dimensions: compact",CNC aluminum & carbon‑fiber palmrest,1‑year limited hardware warranty,"""Get the perfect blend of power and portability with the Dell XPS 13 9310 Laptop. Featuring a vibrant 13.4"" FHD+ display, Intel Core i5 processor, and Thunderbolt 4 connectivity, you'll be able to take on any task. Crafted with premium CNC aluminum and a durable carbon-fiber palmrest, this laptop is built to last. Plus, enjoy peace of mind with a 1-year limited hardware warranty. Stay productive on the go with this sleek and efficient laptop.""",3380.69,169,108,,,,,,,
Apple MacBook Air 13″ (M3),"features: M3 chip, 18‑hour battery, 1080p camera; energy efficient",recycled aluminum unibody,1‑year limited warranty,"Meet the Apple MacBook Air 13″, your ultimate portable powerhouse. Equipped with the innovative M3 chip, this laptop packs a punch in a slim package. Enjoy up to 18 hours of battery life and crystal-clear video calls with the 1080p camera. Made from durable, recycled aluminum, this unibody construction is not only eco-friendly but also built to last. Your purchase is protected by a 1-year limited warranty, giving you peace of mind and the freedom to create on the go.",3690.32,160,105,,,,,,,
Microsoft Surface Pro 10,"features: Intel Core Ultra, detachable keyboard, 13″ PixelSense; dimensions: compact",magnesium alloy chassis,1‑year limited warranty,"Experience the ultimate in portability and productivity with the Microsoft Surface Pro 10. Powered by Intel Core Ultra, this compact powerhouse offers stunning performance and a vibrant 13"" PixelSense display. Its detachable keyboard and sleek magnesium alloy chassis make it perfect for working on the go. Enjoy peace of mind with our 1-year limited warranty. Get creative, get productive, and get anywhere with the Surface Pro 10.",2722.34,153,85,,,,,,,
Garmin Forerunner 255,"features: multi‑band GPS, HRV status, 14‑day battery; rating: 4.7/5",fiber‑reinforced polymer,1‑year limited warranty,"Take your training to the next level with the Garmin Forerunner 255. This sleek, fiber-reinforced polymer device features multi-band GPS for accurate tracking and HRV status for a deeper understanding of your body's performance. With up to 14 days of battery life, you can focus on your fitness journey without interruptions. Backed by a 1-year limited warranty, trust that you're getting a high-quality companion for your athletic endeavors.",2645.81,163,91,,,,,,,
Fitbit Charge 6,"features: heart‑rate monitor, built‑in GPS, 7‑day battery; color options: multiple",aluminum case,1‑year limited warranty,"""Track your fitness journey with confidence. The Fitbit Charge 6 features a heart-rate monitor and built-in GPS, ensuring accurate tracking of your runs, hikes, and daily activities. With up to 7 days of battery life, you can wear it all week without needing to recharge. Available in multiple stylish color options, this sleek aluminum case watch fits any personal style. Plus, enjoy peace of mind with our 1-year limited warranty.""",2772.01,155,90,,,,,,,
GoPro HERO12 Black,"features: 5.3K60 video, HyperSmooth 6.0, waterproof 10 m; capacity: large",rugged polycarbonate,1‑year limited warranty,"Capture life's most epic moments with the GoPro HERO12 Black. Boasting 5.3K60 video and HyperSmooth 6.0 stabilization, your footage will be smooth and stunning. Durable and waterproof up to 10m, this rugged polycarbonate camera can withstand the toughest adventures. With its large capacity, you'll never run out of storage. Backed by a 1-year limited warranty, you can trust the HERO12 Black to deliver high-quality content in even the most extreme conditions.",3223.9,161,105,,,,,,,
DJI Mini 4 Pro Drone,"features: 4K/60fps, omnidirectional obstacle sensing, <250 g; rating: 4.7/5",composite plastic,1‑year limited warranty,"Take to the skies with the DJI Mini 4 Pro Drone! This compact wonder captures stunning 4K/60fps footage, while its advanced omnidirectional obstacle sensing system ensures safe flights. Weighing under 250g, it's perfect for creative types on-the-go. With a 4.7/5 rating, you can trust this reliable drone. Crafted from durable composite plastic, it's built to last. Protected by a 1-year limited warranty, you can focus on capturing the perfect shot, worry-free.",3408.85,163,110,,,,,,,
Nintendo Switch OLED,"features: 7″ OLED screen, docked & handheld modes, 64 GB storage; capacity: large",plastic chassis,1‑year limited warranty,"""Upgrade your gaming experience with the Nintendo Switch OLED, featuring a vibrant 7″ OLED screen and flexible play in both docked and handheld modes. Enjoy immersive visuals and seamless gameplay with 64 GB of storage, perfect for storing your favorite games. The durable plastic chassis is built to last, and you're protected by a 1-year limited warranty. Take your gaming to the next level with this powerful and portable console.""",2592.75,154,86,,,,,,,
PlayStation 5 Slim,"features: ray tracing, haptic feedback controller, 1 TB SSD; battery: long‑lasting",plastic shell,1‑year limited warranty,"""Unlock unparalleled gaming immersion with the PlayStation 5 Slim. This powerful console brings stunning visuals with ray tracing and enhanced gameplay with haptic feedback from its advanced controller. The 1 TB SSD provides seamless gaming experiences, while its long-lasting battery keeps you playing for hours. Crafted with a durable plastic shell, the PlayStation 5 Slim is built to last. Covered by a 1-year limited warranty, you can trust your gaming adventures are protected.""",3152.74,153,91,,,,,,,
Xbox Series X,"features: 12 TFLOPS GPU, 1 TB SSD, 4K @ 120 Hz; battery: long‑lasting",matte black casing,1‑year limited warranty,"Take your gaming experience to new heights with the Xbox Series X. This powerhouse console features a 12TFLOPS GPU for lightning-fast performance, a 1TB SSD for seamless loading, and supports stunning 4K resolution at 120Hz. Its sleek matte black casing looks great on any shelf. With a long-lasting battery, you can game all day and night. Backed by a 1-year limited warranty, you can trust the Series X to deliver an immersive gaming experience. Upgrade your play now.",2874.07,162,104,,,,,,,
Instant Pot Duo 6‑Quart,"features: 7‑in‑1 multicooker, stainless steel inner pot, 1000 W heating; weight: light",18/8 stainless steel,1‑year limited warranty,"Unlock the power of cooking with the Instant Pot Duo 6-Quart, a 7-in-1 multicooker that simplifies meal prep. Featuring a stainless steel inner pot and 1000W heating, this versatile cooker effortlessly boils, steams, sautés, and more. Made from durable 18/8 stainless steel, it's built to last. We've got you covered with a 1-year limited warranty. With its light weight and compact design, cooking has never been easier.",2754.73,167,104,,,,,,,
Keurig K‑Supreme Plus Smart,"features: multistream extraction, BrewID, 78 oz reservoir; capacity: large",brushed stainless steel accents,1‑year limited warranty,"Elevate your coffee experience with the Keurig K-Supreme Plus Smart. This sleek brewing system features multistream extraction for rich flavors and a large 78oz reservoir for non-stop brewing. The smart design boasts brushed stainless steel accents and advanced BrewID technology. Enjoy a convenient and customizable cup every time. With a 1-year limited warranty, you can trust your perfect cup is protected. Upgrade to premium brewing today.",2144.96,157,88,,,,,,,
Vitamix 5200 Blender,"features: variable speed, 2‑hp motor, self‑cleaning; sustainably sourced",BPA‑free Tritan jar,7‑year warranty,"""Experience culinary mastery with the Vitamix 5200 Blender. This powerful machine boasts a 2-hp motor, variable speed, and a self-cleaning design for effortless use. The BPA-free Tritan jar ensures a safe and healthy blending experience. What's more, this blender is made with sustainably sourced materials. Your investment is protected with a 7-year warranty, giving you peace of mind and a lifelong partner in your kitchen.""",2209.22,158,92,,,,,,,
Dyson V15 Detect Vacuum,"features: laser dust detection, HEPA filtration, 60‑min run‑time; energy efficient",polycarbonate & aluminum,2‑year parts & labor,"""Say goodbye to hidden dust and allergens with the Dyson V15 Detect Vacuum. Equipped with a precise laser dust detection system, this powerful cleaner tracks microdust and other pollutants. Its advanced HEPA filtration captures 99.97% of particles as small as 0.3 microns, ensuring a healthier environment. With 60 minutes of runtime and energy-efficient design, you can clean with confidence. Backed by a 2-year parts and labor warranty, the Dyson V15 Detect is a reliable and effective cleaning solution.""",3303.33,158,110,,,,,,,
iRobot Roomba j7+,"features: PrecisionVision navigation, self‑emptying Clean Base, Alexa; award‑winning design",plastic housing,1‑year limited warranty,"""Meet the iRobot Roomba j7+, the ultimate cleaning companion. Equipped with PrecisionVision navigation, this sleek machine effortlessly glides around furniture and under beds with ease. Its self-emptying Clean Base means you'll never have to change the bag again. And with Alexa integration, you can control it with just your voice. Backed by a 1-year limited warranty, this award-winning design is the perfect addition to any home. Clean with confidence and convenience with the iRobot Roomba j7+.""",2849.23,154,105,,,,,,,
Yeti Rambler 20 oz Tumbler,"features: double‑wall vacuum insulated, MagSlider lid; dimensions: compact",kitchen‑grade stainless steel,5‑year warranty,"Stay hydrated on-the-go with the Yeti Rambler 20oz Tumbler. This compact, double-wall vacuum insulated container keeps drinks hot or cold for hours, thanks to its MagSlider lid and kitchen-grade stainless steel construction. Perfect for work, the gym, or everyday use, the Rambler is a reliable and durable companion. Backed by a 5-year warranty, you can trust it to perform. Take your drinks to the next level with the Yeti Rambler.",3181.7,157,102,,,,,,,
Stanley Quencher H2.0 40 oz,"features: vacuum insulated, flow‑state lid, cup‑holder friendly; battery: long‑lasting",recycled stainless steel,lifetime warranty,"Stay hydrated with the Stanley Quencher H2.0 40 oz. This eco-friendly cup features vacuum insulation to keep drinks hot or cold for hours. The leak-proof, flow-state lid makes it perfect for on-the-go use. The cup is made from recycled stainless steel and comes with a long-lasting battery that powers the lid's functions. Backed by a lifetime warranty, this durable and sustainable choice is perfect for outdoor enthusiasts and environmentally conscious consumers.",2377.75,157,93,,,,,,,
Hydro Flask 32 oz Wide Mouth,"features: TempShield insulation, Color Last powder coat; dimensions: compact",pro‑grade stainless steel,lifetime warranty,"Meet your new go-to companion: the Hydro Flask 32 oz Wide Mouth. Made from pro-grade stainless steel, this compact wonder keeps drinks hot or cold for hours. The TempShield insulation is the secret to its incredible temperature retention, while the Color Last powder coat ensures vibrant colors that last. Enjoy your favorite beverages with peace of mind - this bottle is backed by a lifetime warranty, because we're committed to making it last.",2268.92,149,87,,,,,,,
Contigo Autoseal West Loop 16 oz,"features: autoseal spill‑proof lid, double‑wall insulation; dimensions: compact",stainless steel,lifetime warranty,"Elevate your hydration routine with the Contigo Autoseal West Loop. This compact, 16-oz bottle boasts a leak-proof autoseal lid, ensuring on-the-go convenience. Made from durable stainless steel, it withstands daily use and keeps your drinks hot or cold for hours with double-wall insulation. Contigo's lifetime warranty guarantees satisfaction for years to come. Take it anywhere with confidence – this reliable companion has got you covered.",2354.36,153,91,,,,,,,
Nike Air Zoom Pegasus 40,"features: React foam, Zoom Air units, engineered mesh upper; energy efficient",textile & synthetic,2‑year manufacturer warranty,"Take your running game to the next level with the Nike Air Zoom Pegasus 40! This high-energy shoe features React foam for a lightweight, responsive feel and Zoom Air units for explosive power. The engineered mesh upper ensures maximum breathability and comfort. Plus, its energy-efficient design means you'll go farther with less effort. With a 2-year manufacturer warranty, you can run with confidence. Upgrade your run with the Pegasus 40.",2230.39,151,90,,,,,,,
Adidas Ultraboost Light,"features: Light BOOST midsole, Primeknit+ upper, Continental rubber; rating: 4.7/5",textile & synthetic,2‑year manufacturer warranty,"Elevate your runs with the Adidas Ultraboost Light. Our best-selling shoe features a Light BOOST midsole for responsive cushioning, while Primeknit+ upper provides a comfortable, sock-like fit. Continental rubber outsoles ensure traction and durability. With a 4.7/5 rating, you can trust this shoe to deliver. Enjoy a full 2 years of manufacturer warranty protection. Whether you're training or racing, the Ultraboost Light has got you covered. Upgrade your performance today!",2744.89,158,103,,,,,,,
The North Face ThermoBall Eco Jacket,"features: synthetic ThermoBall insulation, DWR finish; dimensions: compact",100% recycled nylon,lifetime warranty,"Experience the perfect blend of warmth and sustainability in The North Face ThermoBall Eco Jacket. This compact, eco-friendly jacket features synthetic ThermoBall insulation and a DWR finish to keep you dry and comfortable. Made from 100% recycled nylon, this jacket not only reduces waste but also performs exceptionally well. Trust that it will last a lifetime with our comprehensive lifetime warranty backing you.",2026.02,150,78,,,,,,,
Patagonia Black Hole 32 L Backpack,"features: weather‑resistant, laptop sleeve, padded straps; capacity: large",100% recycled polyester ripstop,lifetime warranty,"Take on the great outdoors with confidence in the Patagonia Black Hole 32L Backpack. Made from 100% recycled polyester ripstop, this weather-resistant bag withstands the elements. Carry your laptop safely in the dedicated sleeve, and enjoy all-day comfort on the padded straps. With a spacious 32L capacity, you can haul everything you need. Trust Patagonia's commitment to durability with a lifetime warranty backing your investment. Depend on it for all your adventures.",2439.96,155,97,,,,,,,
Osprey Farpoint 40,"features: stowaway harness, laptop sleeve, carry‑on size; energy efficient",450D recycled nylon,lifetime warranty,"""Travel in style with the Osprey Farpoint 40, the ultimate carry-on companion. This lightweight pack features a stowaway harness, laptop sleeve, and energy-efficient design for a seamless experience. Crafted from 450D recycled nylon, this eco-friendly backpack is built to last. Enjoy the peace of mind that comes with a lifetime warranty. Perfect for city breaks or international adventures, the Osprey Farpoint 40 is the perfect blend of form and function.""",2371.84,151,98,,,,,,,
LEGO Star Wars Millennium Falcon 75192,"features: 7 541 pieces, detailed interior, minifigs included; battery: long‑lasting",ABS plastic bricks,lifetime replacement of missing bricks,"Build the ultimate Star Wars experience with the LEGO Star Wars Millennium Falcon 75192! This 7541-piece masterpiece features a detailed interior and comes with an assortment of minifigures. Crafted with long-lasting ABS plastic bricks, this iconic spaceship is a marvel of engineering. Don't worry about missing pieces - we've got you covered with a lifetime replacement warranty. Get ready to embark on a galaxy-spanning adventure with the most iconic ship in the Star Wars universe.",2427.36,157,96,,,,,,,
LEGO Icons Botanical Orchid 10311,"features: 608 pieces, adjustable blooms, decorative set; color options: multiple",ABS plastic bricks,lifetime replacement of missing bricks,"Bring the beauty of nature indoors with the LEGO Icons Botanical Orchid 10311. This 608-piece decorative set features adjustable blooms, allowing you to customize the look. Made from high-quality ABS plastic bricks, this stunning piece is available in multiple color options to suit your style. Backed by a lifetime warranty for missing bricks, you can build and display with confidence. Create a tranquil atmosphere with this exquisite orchid, a perfect addition to any room.",2733.03,153,93,,,,,,,
Kindle Paperwhite 11th Gen,"features: 6.8″ glare‑free display, 10‑week battery, USB‑C; dimensions: compact",recycled plastic,1‑year limited warranty,"Experience the best of reading with the Kindle Paperwhite 11th Gen. Its 6.8"" glare-free display provides an immersive reading experience, while its 10-week battery ensures you can keep reading on the go. Durable and eco-friendly, this compact device is crafted from recycled plastic. For added peace of mind, it's backed by a 1-year limited warranty. Get lost in your favorite stories, worry-free.",2678.79,160,88,,,,,,,
Kobo Libra 2,"features: 7″ E Ink Carta, Bluetooth audiobooks, waterproof IPX8; weight: light",plastic chassis,1‑year limited warranty,"Meet the Kobo Libra 2, your ultimate reading companion. This portable powerhouse boasts a crisp 7"" E Ink Carta display, perfect for devouring your favorite books. Enjoy wireless freedom with Bluetooth audiobooks and don't worry about accidental dips, thanks to its waterproof IPX8 rating. With a light weight and sleek plastic chassis, you can take it anywhere. Plus, it's backed by a 1-year limited warranty. Start your next great read with the Kobo Libra 2.",3058.5,159,105,,,,,,,
Anker Soundcore Motion+ Speaker,"features: 30 W audio, Hi‑Res, IPX7 waterproof; energy efficient",aluminum grille,18‑month warranty,"""Boost your outdoor vibes with the Anker Soundcore Motion+ Speaker. This waterproof powerhouse packs 30W of Hi-Res audio and shines with an aluminum grille that's built to last. Whether you're swimming or sweating, the IPX7 rating ensures it's protected from the elements. Plus, it's energy efficient for extended playtime. With an 18-month warranty, you can enjoy worry-free entertainment all summer long.""",2101.89,153,88,,,,,,,
Sonos Move 2,"features: WiFi & Bluetooth, 24‑hr battery, automatic Trueplay; rating: 4.7/5",shock‑resistant shell,1‑year limited warranty,"""Elevate your outdoor entertainment with the Sonos Move 2. This compact, shock-resistant speaker seamlessly connects via WiFi or Bluetooth, ensuring uninterrupted music play. Enjoy up to 24 hours of battery life and precise sound with automatic Trueplay tuning. With a 4.7/5-star rating, you can trust the Sonos Move 2 to deliver exceptional sound. Get a year of worry-free listening with our 1-year limited warranty.""",1637.21,160,91,,,,,,,
Philips Hue White & Color Ambiance Starter Kit,"features: 16 million colors, Bluetooth & Zigbee, voice control; limited edition",plastic bulbs,2‑year limited warranty,"""Experience the ultimate in smart lighting with our Philips Hue White & Color Ambiance Starter Kit. With 16 million colors at your fingertips, you can create the perfect ambiance for any mood or occasion. This limited edition kit features Bluetooth and Zigbee connectivity, seamless voice control, and plastic bulbs that shine bright. Enjoy peace of mind with a 2-year limited warranty. Upgrade your home with endless possibilities - get yours today!""",1648.05,155,86,,,,,,,
TP‑Link Deco XE75 Mesh WiFi 6E,"features: tri‑band AXE5400, 3‑pack covers 7 200 sq ft; battery: long‑lasting",plastic,2‑year limited warranty,"""Stream seamlessly with the TP-Link Deco XE75 Mesh WiFi 6E, covering up to 7,200 sq ft with a 3-pack setup. This tri-band AXE5400 system boasts a long-lasting battery and is crafted with durable plastic. Experience lightning-fast speeds and reliable connections with the latest WiFi 6E technology. Enjoy peace of mind with our 2-year limited warranty. Say goodbye to dead zones and hello to seamless online experiences.""",1657.77,169,96,,,,,,,
Eufy Video Doorbell Dual,"features: dual camera, package detection, 2K resolution; battery: long‑lasting",plastic housing,1‑year limited warranty,"Protect your home and family with the Eufy Video Doorbell Dual. This sleek, plastic housing doorbell features two cameras for clear 2K resolution, while its advanced package detection system alerts you to potential parcel theft. With its long-lasting battery, you can rely on uninterrupted coverage. Enjoy peace of mind with a 1-year limited warranty. Upgrade your home's security and convenience with the Eufy Video Doorbell Dual, trusted by smart homeowners like you.",1705.98,153,95,,,,,,,
Blink Outdoor 4,"features: 1080p HD, 2‑year battery, weather‑resistant; limited edition",plastic,1‑year limited warranty,"Capture life's moments in stunning 1080p HD with the limited edition Blink Outdoor 4. This weather-resistant camera is built to withstand the elements, and its 2-year battery ensures you're always protected, day and night. With its durable plastic design, you can trust it to keep working. Enjoy peace of mind with our 1-year limited warranty. Set up, charge, and start watching over what matters most – your home, your family, and your memories.",1725.47,152,97,,,,,,,
Corsair K100 RGB Keyboard,"features: Cherry MX Speed, 4000 Hz polling, aluminum frame; capacity: large",brushed aluminum,2‑year warranty,"""Type with precision and style on the Corsair K100 RGB Keyboard. Boasting a robust aluminum frame and the speed of Cherry MX keys, this keyboard delivers exceptional performance. With a high 4000 Hz polling rate and customizable RGB backlighting, every keystroke is a thrill. Built to last, the K100 RGB comes with a 2-year warranty, so you can focus on gaming without worrying about durability. Upgrade your typing experience today.""",1686.33,152,91,,,,,,,
Logitech MX Master 3S,"features: 8K DPI sensor, MagSpeed scroll, Bolt & Bluetooth; color options: multiple",plastic,1‑year limited warranty,"""Take your productivity to the next level with the Logitech MX Master 3S. Equipped with an 8K DPI sensor and MagSpeed scroll, this mouse offers lightning-fast navigation and precise control. Choose from multiple color options to match your style. Connect via Bolt or Bluetooth for seamless wireless performance. Backed by a 1-year limited warranty, you can trust the quality of this reliable and efficient mouse. Upgrade your workflow today.""",1656.82,154,90,,,,,,,
Razer DeathAdder V3 Pro,"features: 63 g ultralight, 30K DPI Focus Pro sensor; battery: long‑lasting",plastic,2‑year warranty,"Elevate your gaming experience with the Razer DeathAdder V3 Pro. This ultralight mouse weighs just 63g, perfect for marathon gaming sessions. Equipped with a 30K DPI Focus Pro sensor, you'll enjoy seamless and precise tracking. Its long-lasting battery ensures uninterrupted playtime. Crafted with durable plastic, this mouse is built to last. Backed by a 2-year warranty, you can play with confidence, knowing you're protected in case anything goes wrong. Upgrade your gaming setup today.",1844.19,157,108,,,,,,,
Samsung 980 Pro 2 TB NVMe SSD,"features: PCIe 4.0, up to 7 000 MB/s read, nickel coating; battery: long‑lasting",PCB & NAND flash,5‑year limited warranty,"Experience blazing-fast storage with the Samsung 980 Pro 2 TB NVMe SSD. Boasting PCIe 4.0 and read speeds of up to 7,000 MB/s, this powerhouse drives data transfer at incredible velocities. With a nickel coating for added durability, this SSD is built to last. Backed by a 5-year limited warranty, you can trust it to handle even the most demanding tasks. A long-lasting battery and high-quality PCB & NAND flash materials complete this exceptional SSD solution.",2162.27,168,102,,,,,,,
Seagate Portable 5 TB HDD,"features: USB 3.0, plug‑and‑play, 2.5″ form factor; rating: 4.7/5",plastic shell,1‑year limited warranty,"""Store up to 5 TB of files with the Seagate Portable 5 TB HDD. This plug-and-play drive connects via USB 3.0 for fast transfer speeds. Its compact 2.5"" design makes it easy to take on the go. With a 4.7/5 rating and durable plastic shell, you can trust this external hard drive to keep your files safe. Backed by a 1-year limited warranty, you can focus on storing, not worrying.""",1878.45,166,100,,,,,,,
SanDisk Extreme PRO 128 GB SDXC,"features: UHS‑I U3, 200 MB/s read, waterproof; battery: long‑lasting",plastic,lifetime limited warranty,"""Capture life's moments with confidence. The SanDisk Extreme PRO 128GB SDXC card is built for high-performance cameras and devices. With UHS-I U3 speeds of 200MB/s read, transfer your files quickly and efficiently. Its waterproof design ensures your memories stay safe, even in the toughest conditions. Featuring a long-lasting battery, this reliable card is a must-have for professionals and enthusiasts alike. Backed by a lifetime limited warranty, you can trust it to deliver.""",1878.88,157,99,,,,,,,
Kingston Fury Beast 32 GB DDR5,"features: 6000 MT/s, Intel XMP 3.0, low‑profile heat spreader; energy efficient",aluminum heatspreader,lifetime warranty,"Boost your system's performance with the Kingston Fury Beast 32 GB DDR5 memory. This high-speed kit boasts 6000 MT/s speeds and Intel XMP 3.0 compatibility for effortless overclocking. Its low-profile aluminum heatspreader ensures efficient heat dissipation. Upgrade your PC with confidence, backed by a lifetime warranty that protects your investment. Experience unparalleled speed and reliability with the Kingston Fury Beast DDR5 memory.",1757.0,161,86,,,,,,,
Acer Predator XB273U 27″ Monitor,"features: 2560×1440 170 Hz IPS, HDR400, G‑Sync Compatible; capacity: large",plastic & metal stand,3‑year warranty,"Elevate your gaming experience with the Acer Predator XB273U 27"" Monitor. Boasting a 2560x1440 resolution and 170Hz refresh rate, this IPS panel delivers stunning visuals. With HDR400 and G-Sync Compatible technology, you'll enjoy seamless motion and vibrant colors. The sturdy plastic and metal stand ensures stability. Plus, with a 3-year warranty, you can play with peace of mind. Perfect for immersive gaming and entertainment, this monitor is a top-notch addition to any gaming setup.",2037.75,163,107,,,,,,,
BenQ PD2725U 27″ Monitor,"features: 4K UHD IPS, 98% P3, Thunderbolt 3; color options: multiple",metal stand,3‑year warranty,"Elevate your visual experience with the BenQ PD2725U 27″ Monitor. This sleek metal stand-mounted display boasts 4K UHD IPS technology and 98% P3 color gamut, delivering vibrant and accurate colors. Plus, its Thunderbolt 3 port enables seamless connectivity. With a 3-year warranty, you can rely on this high-performance monitor to meet your creative demands. Available in multiple color options, it's the perfect choice for professionals and enthusiasts alike.",1867.0,161,100,,,,,,,
ASUS ProArt PA278QV Monitor,"features: 27″ 2560×1440 IPS, 100% sRGB, Calman Verified; weight: light",metal stand,3‑year warranty,"Elevate your creative workflow with the ASUS ProArt PA278QV Monitor. Boasting a 27"" 2560x1440 IPS display, this stunning screen delivers crisp visuals and a wide 100% sRGB color gamut. Plus, it's Calman Verified for precision color accuracy. Durable and sleek, the metal stand ensures a sturdy base. Backed by a 3-year warranty, you can focus on producing art, not worrying about maintenance. Invest in your vision with the ASUS ProArt PA278QV Monitor.",3783.53,161,112,,,,,,,
